Date,Confirmed,Recovered,Deaths,Active
01/22/20,555,28,17,510
01/23/20,654,30,18,606
01/24/20,941,36,26,879
01/25/20,1434,39,42,1353
01/26/20,2118,52,56,2010
01/27/20,2927,61,82,2784
01/28/20,5578,107,131,5340
01/29/20,6166,126,133,5907
01/30/20,8234,143,171,7920
01/31/20,9927,222,213,9492
02/01/20,12038,284,259,11495
02/02/20,16787,472,362,15953
02/03/20,19881,623,426,18832
02/04/20,23892,852,492,22548
02/05/20,27635,1124,564,25947
02/06/20,30794,1487,634,28673
02/07/20,34391,2011,719,31661
02/08/20,37120,2616,806,33698
02/09/20,40150,3244,906,36000
02/10/20,42762,3946,1013,37803
02/11/20,44802,4683,1113,39006
02/12/20,45221,5150,1118,38953
02/13/20,60368,6295,1371,52702
02/14/20,66885,8058,1523,57304
02/15/20,69030,9395,1666,57969
02/16/20,71224,10865,1770,58589
02/17/20,73258,12583,1868,58807
02/18/20,75136,14352,2007,58777
02/19/20,75639,16121,2122,57396
02/20/20,76197,18177,2247,55773
02/21/20,76819,18890,2251,55678
02/22/20,78572,22886,2458,53228
02/23/20,78958,23394,2469,53095
02/24/20,79561,25227,2629,51705
02/25/20,80406,27905,2708,49793
02/26/20,81388,30384,2770,48234
02/27/20,82746,33277,2814,46655
02/28/20,84112,36711,2872,44529
02/29/20,86011,39782,2941,43288
03/01/20,88369,42716,2996,42657
03/02/20,90306,45602,3085,41619
03/03/20,92840,48228,3160,41452
03/04/20,95120,51170,3254,40696
03/05/20,97888,53796,3347,40745
03/06/20,101806,55865,3459,42482
03/07/20,105848,58358,3558,43932
03/08/20,109822,60694,3801,45327
03/09/20,113595,62494,3987,47114
03/10/20,118623,64404,4263,49956
03/11/20,125879,67003,4614,54262
03/12/20,131007,68324,4912,57771
03/13/20,145225,70251,5409,69565
03/14/20,156120,72622,5832,77666
03/15/20,167507,76032,6473,85002
03/16/20,181653,78086,7151,96416
03/17/20,197150,80838,7957,108355
03/18/20,214873,83310,8824,122739
03/19/20,242632,84973,9947,147712
03/20/20,272264,87418,11423,173423
03/21/20,304580,91690,13125,199765
03/22/20,337022,97897,14826,224299
03/23/20,378301,98349,16759,263193
03/24/20,418295,107998,19017,291280
03/25/20,467817,113784,21789,332244
03/26/20,529722,122147,24788,382787
03/27/20,593764,130912,28292,434560
03/28/20,661174,139412,31811,489951
03/29/20,720291,148832,35323,536136
03/30/20,782816,164316,39443,579057
03/31/20,857608,177784,44238,635586
04/01/20,933010,192948,49685,690377
04/02/20,1013863,210019,55834,748010
04/03/20,1096324,225564,61826,808934
04/04/20,1176436,245902,67996,862538
04/05/20,1249743,259773,73077,916893
04/06/20,1321436,276284,78767,966385
04/07/20,1396438,299804,86662,1009972
04/08/20,1480232,328453,93354,1058425
04/09/20,1566102,353739,100915,1111448
04/10/20,1658261,375854,108137,1174270
04/11/20,1736412,401870,114170,1220372
04/12/20,1835145,421472,119853,1293820
04/13/20,1905165,448422,125561,1331182
04/14/20,1975566,473730,132439,1369397
04/15/20,2055748,510266,140685,1404797
04/16/20,2152181,541342,147963,1462876
04/17/20,2239990,567515,156821,1515654
04/18/20,2317636,591469,163236,1562931
04/19/20,2400787,623057,167772,1609958
04/20/20,2472109,645058,173124,1653927
04/21/20,2549046,679905,180236,1688905
04/22/20,2624608,710046,186912,1727650
04/23/20,2708403,738980,193665,1775758
04/24/20,2795731,789585,199997,1806149
04/25/20,2881140,817405,206187,1857548
04/26/20,2955033,845985,209900,1899148
04/27/20,3023722,873677,214444,1935601
04/28/20,3097229,906955,220801,1969473
04/29/20,3172287,948425,227665,1996197
04/30/20,3256910,1013886,233360,2009664
05/01/20,3345558,1052415,238619,2054524
05/02/20,3427584,1093137,243813,2090634
05/03/20,3506729,1125236,247470,2134023
05/04/20,3583055,1162724,251537,2168794
05/05/20,3662691,1198832,257239,2206620
05/06/20,3756069,1245413,263855,2246801
05/07/20,3845718,1284741,269567,2291410
05/08/20,3938064,1322050,274898,2341116
05/09/20,4024009,1375624,279311,2369074
05/10/20,4101699,1408980,282709,2410010
05/11/20,4177502,1456209,286330,2434963
05/12/20,4261747,1493414,291942,2476391
05/13/20,4347018,1548547,297197,2501274
05/14/20,4442163,1587893,302418,2551852
05/15/20,4542347,1637067,307666,2597614
05/16/20,4634068,1693197,311781,2629090
05/17/20,4713620,1733963,315185,2664472
05/18/20,4801943,1786875,318481,2696587
05/19/20,4897492,1838995,323285,2735212
05/20/20,4996472,1897466,328115,2770891
05/21/20,5102424,1948739,332924,2820761
05/22/20,5211156,2056984,338233,2815939
05/23/20,5311020,2112862,342213,2855945
05/24/20,5407613,2168563,345058,2893992
05/25/20,5495061,2231738,346231,2917092
05/26/20,5589626,2286956,350452,2952218
05/27/20,5691790,2350088,355628,2986074
05/28/20,5808946,2415960,360308,3032678
05/29/20,5930781,2493535,364998,3072248
05/30/20,6059017,2564693,369126,3125198
05/31/20,6166946,2641329,372035,3153582
06/01/20,6266192,2696009,375559,3194624
